screen_name,r,w
193,"[0.         0.60889335 0.68322337 1.47559461 1.07085116 1.67974451
 1.75407453 2.54644577 0.54537237 1.15426572 1.22859574 2.02096698
 1.06757279 1.67646614 1.75079616 2.54316741]",[1.06757279 0.54537237 1.07085116 1.47559461 0.68322337 0.60889335]
99,"[ 0.          1.1751423   0.06386184  0.42325304  0.68024249  1.85538479
  0.74410434  1.10349553 -0.47298302  0.70215928 -0.40912118 -0.04972998
  0.43194591  1.60708821  0.49580775  0.85519894]",[ 0.43194591 -0.47298302  0.68024249  0.42325304  0.06386184  1.1751423 ]
718,"[ 0.          0.37920532 -0.34459143  5.88833569  3.12471792  3.50392325
  2.78012649  9.01305361  0.25584046  0.63504578 -0.08875097  6.14417615
 -0.15602502  0.2231803  -0.50061645  5.73231066]",[-0.15602502  0.25584046  3.12471792  5.88833569 -0.34459143  0.37920532]
1018,"[0.         0.39540784 0.66828331 0.53418408 0.18281939 0.57822722
 0.85110269 0.71700346 0.58289708 0.97830491 1.25118038 1.11708115
 0.98107119 1.37647903 1.6493545  1.51525527]",[0.98107119 0.58289708 0.18281939 0.53418408 0.66828331 0.39540784]
425,"[ 0.00000000e+00  2.74006505e-01  9.31099754e-01 -7.48667466e-03
  9.01318251e-01  1.17532476e+00  1.83241801e+00  8.93831577e-01
  8.87173339e-01  1.16117984e+00  1.81827309e+00  8.79686665e-01
  6.74401415e+00  7.01802066e+00  7.67511390e+00  6.73652748e+00]",[ 6.74401415  0.88717334  0.90131825 -0.00748667  0.93109975  0.2740065 ]
876,"[0.         0.39786176 0.54161563 0.43829134 0.78535551 1.18321727
 1.32697114 1.22364685 1.27179807 1.66965984 1.81341371 1.71008941
 2.41282662 2.81068839 2.95444226 2.85111796]",[2.41282662 1.27179807 0.78535551 0.43829134 0.54161563 0.39786176]
1024,"[ 0.          0.58872647  2.43863259  0.62180971  0.13938101  0.72810748
  2.57801359  0.76119072  0.99287613  1.5816026   3.43150872  1.61468584
 -1.90564232 -1.31691585  0.53299027 -1.2838326 ]",[-1.90564232  0.99287613  0.13938101  0.62180971  2.43863259  0.58872647]
102,"[0.         0.47747396 0.37455268 2.37462895 0.55716911 1.03464308
 0.9317218  2.93179807 0.40022664 0.87770061 0.77477932 2.77485559
 0.94977659 1.42725055 1.32432927 3.32440554]",[0.94977659 0.40022664 0.55716911 2.37462895 0.37455268 0.47747396]
818,"[ 0.          0.96474306  1.31485453  0.96695515  2.55067067  3.51541372
  3.86552519  3.51762581  0.32302778  1.28777084  1.63788231  1.28998293
 -1.78816756 -0.8234245  -0.47331303 -0.82121241]",[-1.78816756  0.32302778  2.55067067  0.96695515  1.31485453  0.96474306]
10,"[ 0.          0.61762924  0.71557198  0.15182373 -0.25852146  0.35910778
  0.45705052 -0.10669773  0.7775392   1.39516844  1.49311118  0.92936294
  3.17550965  3.79313889  3.89108163  3.32733339]",[ 3.17550965  0.7775392  -0.25852146  0.15182373  0.71557198  0.61762924]
65,"[0.         0.28635271 0.45002428 1.28177635 0.87730707 1.16365978
 1.32733135 2.15908342 0.49416574 0.78051845 0.94419002 1.77594209
 1.27979483 1.56614754 1.72981911 2.56157118]",[1.27979483 0.49416574 0.87730707 1.28177635 0.45002428 0.28635271]
1059,"[0.         0.72650862 0.03690681 2.46802079 0.83709214 1.56360077
 0.87399895 3.30511294 0.18640451 0.91291314 0.22331132 2.6544253
 1.67455996 2.40106859 1.71146677 4.14258076]",[1.67455996 0.18640451 0.83709214 2.46802079 0.03690681 0.72650862]
671,"[  0.           0.60457904   0.98338967   6.78510977  14.98594894
  15.59052798  15.96933861  21.7710587    0.72822109   1.33280013
   1.71161076   7.51333086 -14.62986769 -14.02528865 -13.64647802
  -7.84475792]","[-14.62986769   0.72822109  14.98594894   6.78510977   0.98338967
   0.60457904]"
907,"[ 0.          0.91181928  0.8879704  -0.71541099 -4.95685385 -4.04503457
 -4.06888345 -5.67226484  6.20643203  7.11825131  7.09440243  5.49102104
 59.78627984 60.69809912 60.67425025 59.07086886]",[59.78627984  6.20643203 -4.95685385 -0.71541099  0.8879704   0.91181928]
159,"[ 0.          0.56336188  0.94424082 -0.61063074  0.99680046  1.56016234
  1.94104128  0.38616973  0.02014013  0.583502    0.96438094 -0.59049061
  1.72116213  2.28452401  2.66540295  1.1105314 ]",[ 1.72116213  0.02014013  0.99680046 -0.61063074  0.94424082  0.56336188]
770,"[0.         0.7325871  0.66871627 0.6495373  0.96264018 1.69522728
 1.63135645 1.61217748 0.93805672 1.67064382 1.60677298 1.58759402
 2.23789832 2.97048542 2.90661459 2.88743562]",[2.23789832 0.93805672 0.96264018 0.6495373  0.66871627 0.7325871 ]
165,"[ 0.          0.67219328  1.52034347 -0.58881056  0.14099187  0.81318514
  1.66133534 -0.44781869  0.09515123  0.76734451  1.6154947  -0.49365933
  3.04802842  3.7202217   4.56837189  2.45921786]",[ 3.04802842  0.09515123  0.14099187 -0.58881056  1.52034347  0.67219328]
