,followers_count_author,following_count_author,tweet_count_author,average_like_count,average_reply_count,avg_retweet_count,nr_tweets,nr_retweets,nr_replies,account_age,NT+nt,NT+rp,NT+rt,NT+tw,RP+nt,RP+rp,RP+rt,RP+tw,RT+nt,RT+rp,RT+rt,RT+tw,nr_mentions,nr_hashtags,nr_urls,nr_longwords,nr_pos,degree_in,degree_out,eigen_left,betweenness
585,21548,1003,5970,4.777777777777778,0.5555555555555556,5.333333333333333,3,2,4,4423,0.0,0.37233681,0.40655965,2.94504138,3.19640273,3.56873955,3.60296238,6.14144412,-1.1452489,-0.77291208,-0.73868925,1.79979249,0.0,1.0,0.8571428571428571,13.285714285714286,31.0,1,1,-1.1836426046826152e-18,0.0
586,939,29,1940,0.40384615384615385,0.22115384615384615,0.3942307692307692,176,2,30,3511,0.0,0.96814129,0.30379912,0.65857082,0.71954361,1.6876849,1.02334273,1.37811443,1.30919031,2.2773316,1.61298943,1.96776113,0.22815533980582525,19.514563106796118,0.8640776699029126,13.330097087378642,23.233009708737864,0,0,-2.0460714955386923e-19,0.0
587,3618,798,43307,8.217391304347826,5.434782608695652,2.1739130434782608,0,8,15,3490,0.0,0.81926454,0.65308061,1.12089907,0.65165111,1.47091565,1.30473172,1.77255018,1.14157945,1.960844,1.79466006,2.26247853,4.066666666666666,3.933333333333333,1.4,11.0,23.4,4,1,0.06580673235597374,0.0
588,3445,4583,5922,346.5833333333333,48.083333333333336,79.75,6,1,5,4361,0.0,0.62191617,0.78099299,1.67698625,0.56263803,1.1845542,1.34363102,2.23962427,0.9052208,1.52713697,1.6862138,2.58220705,0.5454545454545454,1.0,0.6363636363636364,3.3636363636363638,8.818181818181818,25,0,0.12611481244730233,0.0
589,149521,987,379989,0.0,0.0,90.0,0,13,0,3152,0.0,0.327887355,0.253748269,1.64346753,0.497335044,0.825222399,0.751083313,2.14080257,-0.253274857,0.0746124987,0.000473412826,1.39019267,0.0,0.0,0.0,0.0,0.0,0,4,-2.4529457020236013e-19,0.0
590,10786,10764,17163,3.0833333333333335,0.0,0.3333333333333333,9,3,0,3066,0.0,0.75571657,0.61832068,0.35162964,0.03528079,0.79099737,0.65360147,0.38691043,1.21339241,1.96910899,1.83171309,1.56502206,0.2222222222222222,1.2222222222222223,1.0,16.444444444444443,21.77777777777778,0,0,5.116260883795067e-20,0.0
591,164,74,24409,0.6333333333333333,0.5666666666666667,0.13333333333333333,19,0,11,3592,0.0,0.59561435,0.66653707,2.01705735,-0.03076891,0.56484544,0.63576817,1.98628845,0.73536673,1.33098108,1.40190381,2.75242409,0.0,6.233333333333333,0.8666666666666667,13.966666666666667,28.9,1,0,0.019936282654568004,0.0
592,41,337,713,2.25,0.125,1.875,8,0,0,913,0.0,0.23994108,0.99841675,1.46332231,1.29313263,1.5330737,2.29154938,2.75645494,3.70309407,3.94303514,4.70151082,5.16641638,0.0,1.0,0.125,5.0,13.125,0,0,5.919566028343703e-20,0.0
593,11,28,221,200.55555555555554,12.777777777777779,77.55555555555556,3,6,0,421,0.0,0.90858647,0.8442581,0.19843636,0.52117022,1.42975669,1.36542832,0.71960658,1.45969541,2.36828187,2.30395351,1.65813176,0.0,1.0,0.6666666666666666,5.666666666666667,24.666666666666668,10,2,0.01480770545608814,0.0001420229431054871
594,2588,585,14590,8.137931034482758,0.41379310344827586,2.4827586206896552,0,8,21,848,0.0,1.19065593,0.28824426,0.81086937,0.25726043,1.44791636,0.54550469,1.06812981,32.44117498,33.6318309,32.72941924,33.25204435,2.142857142857143,1.2380952380952381,0.8571428571428571,5.095238095238095,16.428571428571427,1,1,2.5141224115447133e-18,0.0
