,followers_count_author,following_count_author,tweet_count_author,average_like_count,average_reply_count,avg_retweet_count,nr_tweets,nr_retweets,nr_replies,account_age,nr_mentions,nr_hashtags,nr_urls,nr_longwords,nr_pos,degree_in,degree_out,eigen_left,betweenness
116,61,91,6937,0.9733333333333334,0.5866666666666667,8.093333333333334,10,2,63,741,1.2876712328767124,1.4657534246575343,0.1780821917808219,6.4520547945205475,15.36986301369863,0,1,1.0595052094461771e-19,0.0
117,3,16,254,3.0,0.5,2.5,0,3,3,721,0.6666666666666666,2.3333333333333335,0.0,13.666666666666666,39.333333333333336,1,1,4.1908299317607667e-19,0.0
118,1672,1374,17982,2.909090909090909,1.0909090909090908,1.0909090909090908,3,4,4,3914,1.5714285714285714,1.7142857142857142,0.5714285714285714,5.714285714285714,12.285714285714286,2,0,1.7048877777014688e-18,0.0
119,78861,7626,5170,50.19512195121951,4.585365853658536,31.536585365853657,31,7,3,1585,0.6176470588235294,4.382352941176471,1.2647058823529411,12.911764705882353,26.470588235294116,11,1,0.048231762059449575,0.0
120,698,310,16823,0.5571428571428572,0.05714285714285714,50.65714285714286,30,39,1,1639,0.7419354838709677,1.8064516129032258,0.9354838709677419,8.870967741935484,23.29032258064516,2,6,0.06314483470046953,0.008720752939291504
121,1364,2725,5346,0.7310924369747899,0.21008403361344538,0.09243697478991597,0,1,118,318,1.5932203389830508,1.0254237288135593,0.0,7.47457627118644,19.389830508474578,1,0,2.9464361863696077e-18,0.0
122,1044,4567,1543,686.5,55.666666666666664,282.8333333333333,3,0,3,3043,0.3333333333333333,1.3333333333333333,0.6666666666666666,3.6666666666666665,8.5,18,0,0.08933289277382511,0.0
123,2131,1776,4229,0.5792349726775956,0.13114754098360656,0.2896174863387978,0,181,2,3484,1.0,8.5,0.5,9.5,13.0,0,0,-1.214524630919389e-19,0.0
124,2075,1371,34713,0.8888888888888888,0.3333333333333333,1.8888888888888888,2,5,2,2919,1.0,2.0,0.75,4.75,10.5,2,0,0.04008513712587634,0.0
125,3616,4784,3797,39.5,6.0,436.0,2,8,0,1159,0.0,2.5,1.0,13.5,35.5,5,3,0.012902215904579432,2.331492520937717e-05
126,194,263,8395,1.3478260869565217,0.6086956521739131,17.043478260869566,7,13,3,455,0.4,2.0,0.7,3.8,8.0,2,2,0.0008800408691137859,0.0
127,22,137,228,0.5625,0.3541666666666667,50.625,1,42,5,3519,1.3333333333333333,1.1666666666666667,0.16666666666666666,1.3333333333333333,2.8333333333333335,1,8,9.127534844682854e-19,1.82862158504919e-06
128,88,214,3126,5.888888888888889,0.3333333333333333,302.6666666666667,5,4,0,3848,0.0,1.4,0.8,8.6,20.8,3,1,0.015978617252425307,0.0
129,74,223,1769,0.25,0.375,866.875,1,7,0,4009,0.0,2.0,1.0,2.0,2.0,0,1,-8.259720674549451e-20,0.0
130,48,63,13709,0.1360544217687075,0.027210884353741496,458.9387755102041,2,145,0,964,0.0,1.0,1.0,1.0,6.0,0,20,7.429469220046193e-19,0.0
131,405,1144,6875,41.9,2.9,36.1,2,5,3,2974,1.2,2.0,1.0,4.2,14.6,3,1,0.009862963040160677,0.0
132,5562,2016,129881,0.12,0.0,126.68,0,25,0,1590,0.0,0.0,0.0,0.0,0.0,0,1,-7.93165967702607e-21,0.0
133,13,180,2907,10.375,1.25,299.625,5,3,0,3327,0.0,1.4,0.8,5.6,15.6,0,1,8.341286744335236e-19,0.0
134,10,62,1312,6.0,0.2857142857142857,530.8571428571429,0,2,5,842,1.0,1.8,1.0,3.4,6.4,0,0,9.662278594157994e-20,0.0
135,74,187,1476,0.21804511278195488,0.15789473684210525,187.64661654135338,4,114,15,1375,2.0526315789473686,2.736842105263158,0.2631578947368421,8.473684210526315,20.0,3,27,0.08716520919889607,0.0055631160350375535
136,21,110,942,2.142857142857143,0.5714285714285714,6.571428571428571,6,1,0,3893,0.16666666666666666,6.333333333333333,0.16666666666666666,10.0,24.0,0,1,-4.572525264395775e-19,0.0
137,61,237,1996,4.233333333333333,0.9666666666666667,138.0,9,11,10,4498,0.9473684210526315,6.894736842105263,0.8421052631578947,9.947368421052632,21.105263157894736,3,1,0.015978617252425314,0.0
138,46,317,1219,16.875,4.625,7.5,8,0,0,807,0.125,2.5,1.0,9.75,22.75,1,0,-1.3729136507965273e-19,0.0
139,1,19,65,1.2857142857142858,0.0,0.8571428571428571,3,4,0,877,0.0,2.3333333333333335,0.6666666666666666,6.333333333333333,12.0,0,0,-9.786063601159628e-20,0.0
