screen_name,r,w
963,"[ 0.          0.10316756  6.44032888  1.82785718 -6.73444455 -6.63127699
 -0.29411567 -4.90658737  2.70042364  2.8035912   9.14075252  4.52828083
 -1.62525255 -1.52208499  4.81507633  0.20260463]",[-1.62525255  2.70042364 -6.73444455  1.82785718  6.44032888  0.10316756]
479,"[ 0.          0.99926728  1.4753094  -0.16823562  0.85123853  1.85050581
  2.32654792  0.6830029   0.42891733  1.42818461  1.90422673  0.26068171
  1.07141117  2.07067845  2.54672057  0.90317555]",[ 1.07141117  0.42891733  0.85123853 -0.16823562  1.4753094   0.99926728]
823,"[0.         0.79381459 0.77657879 0.96802907 0.94827495 1.74208954
 1.72485374 1.91630402 0.98335627 1.77717086 1.75993506 1.95138534
 0.53369476 1.32750936 1.31027355 1.50172384]",[0.53369476 0.98335627 0.94827495 0.96802907 0.77657879 0.79381459]
998,"[ 0.          0.31192363 -1.87938342 36.02028556 -5.78725415 -5.47533052
 -7.66663757 30.23303141  5.2377852   5.54970883  3.35840178 41.25807076
 -0.65091773 -0.3389941  -2.53030115 35.36936782]",[-0.65091773  5.2377852  -5.78725415 36.02028556 -1.87938342  0.31192363]
929,"[ 0.          0.21413388  8.54639771 -7.29668369  0.21453921  0.42867309
  8.76093692 -7.08214448  0.07515054  0.28928442  8.62154824 -7.22153316
  7.40175232  7.6158862  15.94815002  0.10506862]",[ 7.40175232  0.07515054  0.21453921 -7.29668369  8.54639771  0.21413388]
658,"[ 0.          0.48188308  0.84229923  2.84434588  3.44971196  3.93159504
  4.29201118  6.29405784  0.45561153  0.93749462  1.29791076  3.29995741
 -0.53055235 -0.04866927  0.31174688  2.31379353]",[-0.53055235  0.45561153  3.44971196  2.84434588  0.84229923  0.48188308]
910,"[ 0.          0.46481493  0.16624673  2.3855606   0.90017784  1.36499277
  1.06642457  3.28573844  0.08591743  0.55073236  0.25216416  2.47147803
 -0.10009322  0.36472171  0.06615351  2.28546738]",[-0.10009322  0.08591743  0.90017784  2.3855606   0.16624673  0.46481493]
350,"[ 0.          0.91423242  3.06449669 -2.60874371  1.88600686  2.80023928
  4.95050355 -0.72273685  4.69718737  5.61141979  7.76168406  2.08844366
  2.18055073  3.09478315  5.24504742 -0.42819298]",[ 2.18055073  4.69718737  1.88600686 -2.60874371  3.06449669  0.91423242]
472,"[ 0.         -0.48373663  0.57030951  2.54154604  4.17592663  3.69219
  4.74623614  6.71747267  1.1211026   0.63736596  1.6914121   3.66264863
  1.33256838  0.84883175  1.90287789  3.87411442]",[ 1.33256838  1.1211026   4.17592663  2.54154604  0.57030951 -0.48373663]
1034,"[ 0.          0.40023556  1.40629425 -0.27103659  0.66350427  1.06373983
  2.06979852  0.39246768  0.67893345  1.07916901  2.0852277   0.40789686
  0.11351004  0.5137456   1.51980429 -0.15752655]",[ 0.11351004  0.67893345  0.66350427 -0.27103659  1.40629425  0.40023556]
146,"[ 0.         -0.22959961  0.82753993  1.74868441 -1.32348955 -1.55308916
 -0.49594962  0.42519486  2.86621351  2.63661389  3.69375344  4.61489792
  0.2731648   0.04356518  1.10070473  2.02184921]",[ 0.2731648   2.86621351 -1.32348955  1.74868441  0.82753993 -0.22959961]
25,"[ 0.          0.99722691  0.61487676  6.7617016  14.11812594 15.11535285
 14.73300269 20.87982754  4.97997635  5.97720326  5.59485311 11.74167795
  0.27224691  1.26947382  0.88712367  7.03394851]",[ 0.27224691  4.97997635 14.11812594  6.7617016   0.61487676  0.99722691]
637,"[0.         0.57694403 0.62686159 1.21289493 0.65163399 1.22857802
 1.27849558 1.86452892 0.66289692 1.23984095 1.28975851 1.87579184
 2.28365437 2.8605984  2.91051595 3.49654929]",[2.28365437 0.66289692 0.65163399 1.21289493 0.62686159 0.57694403]
